Fila,country,designation,points,price,province,region_1,variety,winery
39,Italy,,90,23,Tuscany,Chianti Classico,Sangiovese,Casina di Cornia
40,Italy,Riserva,90,29,Tuscany,Chianti Classico,Red Blend,Castello di Monterinaldi
41,Spain,Amandi,90,17,Galicia,Ribeira Sacra,Mencía,Don Bernardino
42,Spain,Alfonso Oloroso Seco,90,26,Andalucia,Jerez,Palomino,González Byass
43,US,Private Reserve,90,55,Idaho,,Petite Sirah,Huston
44,Italy,Riserva,90,39,Tuscany,Chianti Classico,Red Blend,Rignana
45,France,Coteaux,90,69,Rhône Valley,Cornas,Syrah,Tardieu-Laurent
46,Italy,Vigneto Odoardo Beccari Riserva,90,30,Tuscany,Chianti Classico,Red Blend,Vignavecchia
47,Italy,Poggio alle Mura,90,90,Tuscany,Brunello di Montalcino,Sangiovese,Banfi
48,US,Estate Grown,90,60,California,Mount Veeder,Cabernet Sauvignon,Brandlin
49,Italy,,90,50,Tuscany,Brunello di Montalcino,Sangiovese,Brunelli Martoccia
50,US,,90,40,Washington,Red Mountain,Cabernet Sauvignon,Canvasback
51,Italy,Riserva,90,100,Tuscany,Brunello di Montalcino,Sangiovese,Capanne Ricci
52,France,,90,68,Burgundy,Chassagne-Montrachet,Chardonnay,Chartron et Trébuchet
53,France,Les 7 Hommes,90,42,Loire Valley,Sancerre,Sauvignon Blanc,Cherrier Frères
54,France,L'Inédit,90,28,Loire Valley,Coteaux du Giennois,Pinot Noir,Clement et Florian Berthier
55,US,,90,18,California,Russian River Valley,Chardonnay,De Loach
56,US,Four Flags,90,69,Washington,Red Mountain,Cabernet Sauvignon,DeLille
57,France,Le Pavé,90,,Loire Valley,Sancerre,Sauvignon Blanc,Domaine Vacheron
58,US,Reserve,90,25,New York,Finger Lakes,Riesling,Dr. Konstantin Frank
59,US,Final Final,90,30,Washington,Columbia Valley (WA),Cabernet Sauvignon-Syrah,Efeste
60,Italy,Poggio Bestiale,90,60,Tuscany,Maremma Toscana,Red Blend,Fattoria di Magliano
61,Argentina,The Apple Doesn't Fall Far From The Tree,91,30,Mendoza Province,Mendoza,Malbec,Matias Riccitelli
62,Australia,,91,36,Victoria,Mornington Peninsula,Pinot Noir,Moorooduc
63,Argentina,Alegoría Gran Reserva,91,25,Mendoza Province,Mendoza,Malbec,Navarro Correas
64,France,L'Homme Mort Premier Cru,91,45,Burgundy,Chablis,Chardonnay,Domaine Chenevières
65,Portugal,,91,23,Alentejano,,Portuguese Red,Herdade do Rocim
66,US,Estate Select,91,36,California,Santa Clara Valley,Syrah,Jason-Stephens
67,France,Fourchaume Premier Cru,91,38,Burgundy,Chablis,Chardonnay,Louis Max
68,US,Animo,91,85,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
69,US,Schindler Vineyard,91,50,Oregon,Eola-Amity Hills,Pinot Noir,Panther Creek
70,US,Barrel Select,91,60,California,Rutherford,Cabernet Sauvignon,Provenance Vineyards
71,US,District Collection,91,85,California,St. Helena,Cabernet Sauvignon,Raymond
72,US,,91,45,California,Sonoma Coast,Pinot Noir,Red Car
73,Italy,Bussia Riserva,91,,Piedmont,Barolo,Nebbiolo,Silvano Bolmida
74,US,,91,19,Oregon,Willamette Valley,Pinot Gris,Trinity Vineyards
75,Portugal,Premium,91,15,Alentejo,,Portuguese Red,Adega Cooperativa de Borba
76,US,Premier Cuvée,91,54,Oregon,Willamette Valley,Pinot Noir,Archery Summit
77,France,Le Nombre d'Or Brut Nature,91,85,Champagne,Champagne,Chardonnay,Aubry
78,US,Juliana Vineyard,91,38,California,Napa Valley,Sauvignon Blanc,B Cellars
79,US,,91,28,California,Napa Valley,Cabernet Sauvignon,B Side
80,Italy,Boscato,91,75,Piedmont,Barolo,Nebbiolo,Bel Colle
81,US,Aeolian,91,42,Oregon,Eola-Amity Hills,Pinot Noir,Bethel Heights
82,Israel,Reserve,91,25,Upper Galilee,,Cabernet Sauvignon,Binyamina
83,Italy,Palliano Riserva,91,,Piedmont,Roero,Nebbiolo,Ceste
84,Italy,del Comune di Serralunga d'Alba,91,59,Piedmont,Barolo,Nebbiolo,Cascina Cucco
85,Italy,Bricco Luciani,91,85,Piedmont,Barolo,Nebbiolo,Cascina del Monastero
86,Italy,Bricco Gattera,91,80,Piedmont,Barolo,Nebbiolo,Cordero di Montezemolo
87,France,Montmains Premier Cru,91,45,Burgundy,Chablis,Chardonnay,Domaine Gérard Duplessis
88,US,,91,22,California,Napa Valley,Cabernet Sauvignon,Eagle Glen
89,US,Bacigalupi Vineyard,91,65,California,Russian River Valley,Pinot Noir,Eleven Eleven
90,US,Magnificat,91,50,California,Napa Valley,Meritage,Franciscan
91,US,,86,10,California,California,Cabernet Sauvignon,Belle Ambiance
92,Portugal,Marquês de Marialva Rosé Bruto,86,12,Beira Atlantico,,Baga,Adega de Cantanhede
93,Italy,Nature,86,22,Veneto,Prosecco,Glera,De Stefani
94,US,Small Lot Blend,86,13,California,Mendocino County,Chardonnay,Parducci
95,Portugal,Muros de Vinha,86,10,Douro,,Portuguese Red,Quinta do Portal
96,France,Château Beauvillain-Monpezat,86,14,Southwest France,Cahors,Malbec-Merlot,Rigal
97,US,,86,18,California,California,Chardonnay,The Naked Grape
98,US,,86,36,California,Sonoma Valley,Cabernet Sauvignon,Tin Barn
99,France,Pigmentum,86,15,Southwest France,Buzet,Merlot-Malbec,Georges Vigouroux
100,France,Pigmentum,86,10,Southwest France,Côtes de Gascogne,Ugni Blanc-Colombard,Georges Vigouroux
101,US,,86,24,California,South Coast,Viognier,Hawk Watch Winery
102,US,Stephanie,86,50,California,Napa Valley,Cabernet Sauvignon,Hestan
103,Italy,,86,45,Tuscany,Brunello di Montalcino,Sangiovese,Il Grappolo
104,US,Bella's Blend,86,48,California,Knights Valley,Cabernet Sauvignon-Cabernet Franc,Ehret
105,US,Tears of Dew Late Harvest,86,20,California,Paso Robles,Moscato,EOS
106,US,Tudor Hills Vineyard,86,17,Washington,Yakima Valley,Pinot Grigio,Martinez & Martinez
107,US,,86,12,California,Lodi,Cabernet Franc,Ironstone
108,US,,86,10,California,California,Chardonnay,Leaping Horse
109,US,,86,13,California,California,White Blend,Kitchen Sink
110,US,Homestead Block,86,45,California,Napa Valley,Chardonnay,Kuleto Estate
111,Portugal,Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86,12,Tejo,,Portuguese Red,Wines & Winemakers
112,Argentina,Terroir Único Pinot Noir,86,12,Mendoza Province,Tupungato,Rosé,Zorzal
113,US,Limited Release Cold Springs Vineyard,86,125,California,Howell Mountain,Cabernet Sauvignon,Charles Krug
114,US,Castle Hill Vineyard,86,25,New York,Hudson River Region,Riesling,Millbrook
115,South Africa,Circumstance,86,20,Stellenbosch,,Sauvignon Blanc,Waterkloof
116,Argentina,Reserva,86,15,Mendoza Province,Valle de Uco,Malbec,Viñalba
117,Spain,Dulce Tinto,86,,Levante,Jumilla,Monastrell,Casa de la Ermita
118,France,,86,20,Southwest France,Gaillac,Rosé,Château Clément Termes
119,France,Il est des nôôôtres!,86,15,Southwest France,,Gamay,Château Coutinel
120,Portugal,Convento da Vila,86,7,Alentejano,,Portuguese Red,Adega Cooperativa de Borba
121,US,The Flyer,91,59,California,Russian River Valley,Pinot Noir,MacPhail
122,US,Charles Vineyard Clone 05,91,49,California,Anderson Valley,Pinot Noir,Foursight
123,US,Solomon Hills Vineyard Rosé,91,42,California,Santa Maria Valley,Sparkling Blend,Goat Bubbles
124,US,Paris Tasting Commemorative,91,93,California,Napa Valley,Chardonnay,Grgich Hills
125,US,Methode a l'Ancienne,91,32,California,Anderson Valley,Pinot Noir,Navarro
126,US,,91,20,California,Anderson Valley,Pinot Noir,Navarro
127,US,Grand Wren,90,100,California,Amador County,Zinfandel,Renwood
128,US,Central Park West Vineyard,90,50,California,St. Helena,Cabernet Sauvignon,Trinchero
129,Spain,Arnegui Reserva,90,22,Northern Spain,Rioja,Tempranillo,Pagos del Rey
130,Italy,Chianta Bianco,90,45,Sicily & Sardinia,Etna,White Blend,Biondi
131,Italy,,90,18,Southern Italy,Greco di Tufo,Greco,Cantine di Marzo
132,US,,90,45,California,Santa Lucia Highlands,Chardonnay,Alexander-Smith
133,US,Cooper Ranch,90,26,California,Amador County,Barbera,Andis
134,US,,90,16,California,Sonoma County,Chardonnay,Benziger
135,US,Longwood,90,30,California,Napa Valley,Cabernet Sauvignon,Beaucanon
136,US,Estate,90,42,California,Adelaida District,Grenache,Brecon Estate
137,US,Mustang Springs,90,38,California,Adelaida District,Zinfandel,Peachy Canyon
138,US,SMC,90,48,California,California,Rhône-style Red Blend,Three
139,Spain,Crianza,90,17,Northern Spain,Rioja,Tempranillo,Valdelacierva
140,France,Le,90,18,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,Rosé,Château de Lancyre
141,France,,90,15,Bordeaux,Bordeaux Rosé,Rosé,Château Suau
142,US,Rte Blanc,90,28,California,Napa Valley,Sauvignon Blanc,Clif Family
143,US,Hook Vineyard,90,25,California,Santa Lucia Highlands,Grenache,Santa Cruz Mountain Vineyard
144,US,,90,26,Oregon,Applegate Valley,Chardonnay,Schmidt
145,US,Jespersen Ranch,90,24,California,Edna Valley,Albariño,Stephen Ross
146,US,,90,55,California,Anderson Valley,Pinot Noir,Goldeneye
147,US,Estate Grown,90,36,California,Napa Valley,Zinfandel,Grgich Hills
148,Spain,,90,17,Galicia,Rías Baixas,Albariño,Mar de Viñas
149,US,,90,40,California,Sta. Rita Hills,Syrah,Kessler-Haak
150,US,,90,28,California,Ballard Canyon,Malvasia Bianca,Larner
151,US,,89,50,Oregon,Willamette Valley,Pinot Noir,Bomb
152,Greece,Kapnias,89,24,Atalanti Valley,,White Blend,Hatzimichalis
153,Spain,Brut Reserva,89,17,Catalonia,Cava,Sparkling Blend,Bohigas
154,Greece,,89,21,Santorini,,Assyrtiko,Boutari
155,Greece,Axia Malagouzia,89,18,Florina,,Malagouzia,Alpha Estate
156,Chile,Ecos de Rulo Single Vineyard El Chequén Estate,89,20,Marchigue,,Carmenère,Viña Bisquertt
157,France,,89,20,Southwest France,Cahors,Bordeaux-style Red Blend,Chateau Quattre
158,US,,89,24,Oregon,Rogue Valley,Sangiovese,Ledger David
159,Spain,Viña Real Gran Reserva,89,44,Northern Spain,Rioja,Tempranillo,CVNE
160,Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,89,19,Colchagua Valley,,Red Blend,Estampa
161,US,Range 30 West,89,42,California,Happy Canyon of Santa Barbara,Bordeaux-style Red Blend,Foxen 7200
162,US,,89,35,Oregon,Oregon,Pinot Noir,Irvine Family Vineyards
163,Spain,Gaudium,89,44,Northern Spain,Rioja,Tempranillo Blend,Marqués de Cáceres
164,US,,89,16,California,Dunnigan Hills,Syrah,Matchbook
165,US,Mill Road Vineyard,89,23,California,Paso Robles,Viognier,Eberle
166,US,Freedom Hill Vineyard,89,36,Oregon,Willamette Valley,Pinot Noir,Silvan Ridge
167,Italy,Le Redini,89,25,Tuscany,Toscana,Red Blend,Tenuta degli Dei
168,Italy,Il Guardiano,89,22,Tuscany,Toscana,Red Blend,Poggio Mandorlo
169,Portugal,,89,20,Douro,,Touriga Nacional,Quinta das Carvalhas
170,US,Del Arroyo Vineyard,89,25,California,Livermore Valley,Chardonnay,Occasio
171,US,,89,42,California,Sta. Rita Hills,Pinot Noir,Sanford
172,Chile,Family Collection,89,30,Curicó Valley,,Cabernet Sauvignon-Cabernet Franc,Santa Alba
173,Greece,,89,17,Nemea,,Agiorgitiko,Boutari
174,US,Charles Vineyard Clone O5,89,49,California,Anderson Valley,Pinot Noir,Foursight
175,France,Héritages Elevé en Foudres de Chêne,89,16,Rhône Valley,Côtes du Rhône,Rhône-style Red Blend,Ogier
176,Spain,Gran Bajoz,89,30,Northern Spain,Toro,Tinta de Toro,Pagos del Rey
177,Italy,Palazzo Altesi,89,40,Tuscany,Toscana,Sangiovese,Altesino
178,Italy,Il Borgo,89,57,Tuscany,Toscana,Red Blend,Cabreo
179,US,Lot 525,89,29,California,Napa Valley,Cabernet Sauvignon,Cameron Hughes
180,Chile,Perla Negra,89,61,Maule Valley,,Red Blend,Casa Donoso
181,US,,88,25,California,Sonoma Coast,Chardonnay,Rodney Strong
182,US,Estate Reserve,88,25,California,Paso Robles,Syrah,San Simeon
183,US,Sonatera Vineyard,88,49,California,Sonoma Coast,Pinot Noir,Siduri
184,US,Boushey Vineyard,88,20,Washington,Yakima Valley,Picpoul,Syncline
185,Argentina,Trinità Grand Reserve,88,26,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,Piattelli
186,US,Entwined,88,34,Washington,Columbia Valley (WA),Bordeaux-style Red Blend,Pondera
187,US,French Camp Vineyard,88,38,California,Paso Robles,Zinfandel,Tobin James
188,US,French Camp Vineyard,88,38,California,Paso Robles,Zinfandel,Tobin James
189,Spain,Sobre Lías,88,25,Northern Spain,Valdeorras,Godello,Valdesil
190,Spain,Negre,87,22,Catalonia,Montsant,Red Blend,Jaspi
191,Argentina,Reserve,87,15,Mendoza Province,Tupungato,Malbec,Tupun
192,France,,87,20,Bordeaux,Graves,Bordeaux-style Red Blend,Château Beauregard Lagupeau
193,France,,87,25,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château du Taillan
194,France,,87,20,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château la Haye
195,France,,87,20,Bordeaux,Fronsac,Bordeaux-style Red Blend,Château Lalande Mausse
196,France,,87,25,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Magnol
197,US,,87,10,California,California,Chardonnay,Grand Pacific
198,US,Rosé of,87,18,Washington,Columbia Valley (WA),Malbec,Hamilton
199,US,Ingle Vineyard Unoaked,87,18,New York,Finger Lakes,Chardonnay,Heron Hill
200,US,Semi-Dry,87,14,New York,Finger Lakes,Riesling,Heron Hill
201,US,Semi-Dry,87,14,New York,Finger Lakes,Riesling,Fox Run
202,US,Ice Wine,87,40,New York,Finger Lakes,Cabernet Franc,Glenora
203,France,,87,18,Bordeaux,Médoc,Bordeaux-style Red Blend,Château Roc Taillade
204,France,,87,20,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Sénéjac
205,US,,87,10,Washington,Columbia Valley (WA),Gewürztraminer,Chateau Ste. Michelle
206,US,,87,11,Washington,Columbia Valley (WA),Merlot,Castle Rock
207,US,,87,36,Washington,Columbia Valley (WA),Cabernet Sauvignon,Dussek Family Cellars
208,US,,87,20,New York,Finger Lakes,Cabernet Franc,Serenity
209,US,Weinbau,87,32,Washington,Wahluke Slope,Grenache,Sol Stone
210,Spain,Yá Cuvée 23 Brut Rosé,87,18,Catalonia,Cava,Sparkling Blend,Sumarroca
211,Portugal,Reserva,93,55,Douro,,Portuguese Red,Poças
212,Italy,Nervo,93,49,Piedmont,Barbaresco,Nebbiolo,Rizzi
213,US,Rocky Ridge Vineyard,93,50,California,Rockpile,Zinfandel,Robert Biale
214,Italy,Fausoni,93,58,Piedmont,Barbaresco,Nebbiolo,Sottimano
215,France,Rosacker Grand Cru,93,39,Alsace,Alsace,Riesling,Domaine Jean-Luc Mader
216,France,Clos Häuserer Wintzenheim,93,65,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
217,Morocco,Domaine Excelcio,93,35,Guerrouane,,Syrah-Grenache,Bernard Magrez
218,Italy,,93,80,Piedmont,Barolo,Nebbiolo,Borgogno
219,France,Pfingstberg Paradis Grand Cru,93,42,Alsace,Alsace,Riesling,Domaine François Schmitt
220,France,Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61,Alsace,Alsace,Riesling,Gustave Lorentz
221,US,Collaboration Series VI Ciel du Cheval Vineyard,93,58,Washington,Red Mountain,G-S-M,Force Majeure
222,US,Hastings Ranch Vineyard,93,38,California,Paso Robles,Mourvèdre,Anglim
223,France,Heissenberg,93,48,Alsace,Alsace,Riesling,Domaine Ostertag
224,US,Stagecoach Vineyards The Biale Block,93,50,California,Napa Valley,Zinfandel,Robert Biale
225,Italy,Pajorè,93,58,Piedmont,Barbaresco,Nebbiolo,Sottimano
226,France,,93,120,Bordeaux,Sauternes,Bordeaux-style White Blend,Château Raymond-Lafon
227,US,Estate,93,50,California,Fort Ross-Seaview,Syrah,Red Car
228,US,Collaboration Series V Ciel du Cheval Vineyard,93,80,Washington,Red Mountain,Cabernet Sauvignon,Force Majeure
229,US,White Hawk Vineyard,93,40,California,Santa Barbara County,Syrah,Mulvane Wine Co.
230,Portugal,Quinta dos Quatro Ventos Reserva,93,41,Douro,,Portuguese Red,Caves Aliança
231,US,Double Canyon Vineyard,93,48,Washington,Horse Heaven Hills,Cabernet Sauvignon,Double Canyon
232,US,Red Rock Terrace,93,200,California,Napa Valley,Cabernet Sauvignon,Diamond Creek
233,US,Ciel du Cheval Vineyard,93,39,Washington,Red Mountain,Petit Verdot,Côtes de Ciel
234,US,Kingpin,93,62,Washington,Red Mountain,Cabernet Sauvignon,Sparkman
235,Italy,,93,43,Piedmont,Barbaresco,Nebbiolo,Punset
236,France,Domaine Saint-Rémy Schlosberg Grand Cru,92,35,Alsace,Alsace,Riesling,Domaine Ehrhart
237,France,Pfersigberg Grand Cru,92,48,Alsace,Alsace,Riesling,Domaine Zinck
238,France,Calcaire,92,55,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
239,Portugal,Dona Maria Reserva,92,40,Alentejano,,Portuguese Red,Dona Maria-Júlio Bastos
240,Italy,Coste Rubin,92,69,Piedmont,Barbaresco,Nebbiolo,Fontanafredda
241,France,,88,16,Bordeaux,Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Chantemerle
242,France,,88,16,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend,Château Chaubinet
243,France,,88,,Bordeaux,Pessac-Léognan,Bordeaux-style White Blend,Château Ferran
244,France,,88,15,Bordeaux,Côtes de Bourg,Bordeaux-style Red Blend,Château Fongalan
245,France,,88,13,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend,Château Mezain
246,US,,88,28,California,Carneros,Chardonnay,Clos du Val
247,US,Estate,88,36,Oregon,McMinnville,Pinot Noir,Coeur de Terre
248,Romania,La Umbra,88,9,Colinele Dobrogei,,Rosé,Cramele Halewood
249,US,Limited Selection,88,24,California,Central Coast,Chardonnay,Daniel Gehrs
250,US,Cuvée Luke Saralee's Vineyard,88,30,California,Russian River Valley,Rhône-style White Blend,Davis Family
251,US,,88,25,California,Sonoma County,Merlot,Decoy
252,Italy,,88,34,Piedmont,Barolo,Nebbiolo,Reversanti
253,US,Wits' End,88,60,Oregon,Chehalem Mountains,Pinot Noir,Roco
254,US,Toyon Farm,88,54,California,Carneros,Pinot Noir,Saintsbury
255,US,Early,88,15,Oregon,Willamette Valley,Muscat,Silvan Ridge
256,Italy,Bussia,88,56,Piedmont,Barolo,Nebbiolo,Silvano Bolmida
257,US,Estate,88,20,California,Napa Valley,Sauvignon Blanc,St. Supéry
258,US,Guidotti Vineyard,88,61,California,Santa Lucia Highlands,Pinot Noir,Testarossa
259,Italy,,88,46,Piedmont,Barolo,Nebbiolo,Trediberri
260,Spain,Prestigio,88,30,Northern Spain,Cigales,Tempranillo,Val de Los Frailes
261,Spain,Crianza,88,17,Central Spain,La Mancha,Tempranillo Blend,Yuntero
262,France,Noctambule,88,,Loire Valley,Crémant de Loire,Chenin Blanc-Chardonnay,Musset-Roullier
263,US,Querida,88,40,California,Paso Robles,Cabernet Sauvignon-Merlot,Oso Libre
264,US,Primoroso,88,39,California,Paso Robles,Red Blend,Oso Libre
265,Italy,del Comune di Serralunga d'Alba,88,49,Piedmont,Barolo,Nebbiolo,Palladino
266,France,Domaine de Saint-Pierre,88,23,Loire Valley,Sancerre,Sauvignon Blanc,Pierre Prieur et Fils
267,US,,88,16,California,Monterey County,Pinot Grigio,Bargetto
268,US,Anna's Estate Vineyard,88,32,California,Paso Robles,Mourvèdre,Adelaida
269,US,,88,18,California,Santa Barbara County,Chardonnay,Alma Rosa
270,Argentina,Single Vineyard Reserva,88,15,Mendoza Province,Agrelo,Cabernet Sauvignon,Lamadrid
271,France,Pertuisots Premier Cru,92,92,Burgundy,Beaune,Pinot Noir,Domaine de Bellene
272,France,Clos du Cailleret Premier Cru,92,94,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Vincent Girardin
273,US,Haynes Vineyard,92,58,California,Coombsville,Chardonnay,Failla
274,US,Suzuri Series Shake Ridge Ranch,92,50,California,Amador County,Rhône-style Red Blend,Gallica
275,US,Vintage Brut,92,48,California,Russian River Valley,Sparkling Blend,J Vineyards & Winery
276,US,,92,32,California,Sonoma Coast,Pinot Noir,Les Voleurs
277,Italy,Sirmian,92,27,Northeastern Italy,Alto Adige,Pinot Bianco,Nals Margreid
278,Portugal,Portal do Fidalgo,92,35,Vinho Verde,,Alvarinho,Provam
279,Portugal,Mirabilis Grande Reserva,92,95,Douro,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
280,US,Solomon Hills Vineyard,92,43,California,Santa Maria Valley,Pinot Noir,Ryan Cochrane
281,Italy,Monte Carbonare,92,33,Veneto,Soave Classico,Garganega,Suavia
282,Italy,Quarz,92,60,Northeastern Italy,Alto Adige,Sauvignon,Cantina Terlano
283,France,,92,,Southwest France,Cahors,Malbec,Château du Cèdre
284,France,Réserve,92,30,Bordeaux,Graves,Bordeaux-style Red Blend,Château Haut Selve
285,US,Lampyridae Vineyards,92,100,California,Mount Veeder,Cabernet Sauvignon,Communication Block
286,US,Le Mistral Vineyard,92,35,California,Monterey County,Syrah,Baker & Brain
287,France,Les Charmes Dessus,91,60,Burgundy,Santenay,Chardonnay,Domaine de Bellene
288,France,Cuvée Germain,91,16,Southwest France,Côtes du Tarn,Bordeaux-style Red Blend,Domaine D'en Ségur
289,France,Quintessence,91,40,Burgundy,Pouilly-Fuissé,Chardonnay,Domaine Sangouard-Guyot
290,US,Clay Court,91,60,Oregon,Willamette Valley,Pinot Noir,Elk Cove
291,France,,91,100,Burgundy,Clos de Vougeot,Pinot Noir,Evening Land
292,Portugal,,91,18,Alentejano,,Touriga Nacional,Herdade de São Miguel
293,US,,91,16,Oregon,Oregon,Pinot Gris,Iris Vineyards
294,US,Kruse Vineyards,91,42,California,Paso Robles,Syrah,Jack Creek
295,France,Cami Salié,91,,Southwest France,Jurançon Sec,Gros and Petit Manseng,Lionel Osmin & Cie
296,US,Rosé of,91,20,California,Napa Valley,Pinot Noir,Brick & Mortar
297,Italy,Prail,91,25,Northeastern Italy,Alto Adige,Sauvignon,Colterenzio
298,Italy,Puiten,91,23,Northeastern Italy,Alto Adige,Pinot Grigio,Colterenzio
299,US,Estate Grown,91,38,California,Carneros,Pinot Noir,Cuvaison
300,US,Nova Vineyard,91,32,California,Clear Lake,Zinfandel,De Loach
301,US,The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
302,US,Estate Bottled,94,30,California,Napa Valley,Riesling,Smith-Madrone
303,Italy,Vigneto Monte Sant'Urbano,94,85,Veneto,Amarone della Valpolicella Classico,Red Blend,Speri
304,US,White,94,30,California,Napa Valley,Riesling,Stony Hill
305,US,Sierra Madre Vineyard,94,65,California,Santa Maria Valley,Pinot Noir,Testarossa
306,New Zealand,Maté's Vineyard,94,57,Kumeu,,Chardonnay,Kumeu River
307,US,Bergström Vineyard,94,90,Oregon,Dundee Hills,Pinot Noir,Bergström
308,US,Angel Hawk,94,85,California,Anderson Valley,Pinot Noir,Black Kite
309,US,King Ridge Vineyard Hirsch Selection,94,70,California,Fort Ross-Seaview,Pinot Noir,Blue Farm
310,US,Evenstad Reserve,94,70,Oregon,Willamette Valley,Pinot Noir,Domaine Serene
311,US,Bacigalupi Vineyard,94,60,California,Russian River Valley,Pinot Noir,Gary Farrell
312,Italy,Contrada Salvarenza Vecchie Vigne,94,38,Veneto,Soave Classico,Garganega,Gini
313,Italy,La Froscà,94,29,Veneto,Soave Classico,Garganega,Gini
314,US,Outer Limits,94,155,California,Napa Valley,Cabernet Sauvignon,Parallel
315,US,Durant Vineyard Bishop Block,94,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
316,US,Godspeed,94,95,California,Mount Veeder,Cabernet Sauvignon,Sbragia
